Sentence_Id,Article_ID,Article,Original_Sentence,Simplification,Rating
5,1,Seifenblase,"Wegen dieser leichten Vergänglichkeit wurde ,Seifenblase‘ zu einer Metapher für etwas, das zwar anziehend, aber dennoch inhalts- und gehaltlos ist.","Weil Seifenblasen nicht lange halten, wurden sie zu einem  sprachlichen Ausdruck für etwas, das anziehend aber inhaltslos ist.",Etwas einfacher
7,1,Seifenblase,In der Kunst wird spätestens seit dem Barock die Seifenblase durchgängig ikonographisch als ein Vanitassymbol benutzt und spiegelt sowohl die Schönheit als auch die Flüchtigkeit des menschlichen Lebens wider.,In der Kunst wird die Seifenblase spätestens seit dem Barock als Symbol für Vergänglichkeit benutzt. Sie spiegelt sowohl die Schönheit als auch die Flüchtigkeit des menschlichen Lebens wider.,Deutlich einfacher
11,1,Seifenblase,"Eine Seifenblase entsteht, wenn sich ein dünner Wasserfilm mit Seifenmolekülen vermischt.","Eine Seifenblase entsteht, wenn sich eine kleine Menge von Wasser (auch Wasserfilm genannt) mit einer kleinen Menge Seife mischt.",Etwas einfacher
13,1,Seifenblase,Infolge des gravitationsbedingten Auslaufens (Drainage) der zwischen den Seifenfilmoberflächen befindlichen Flüssigkeit dünnt eine Seifenblase in ihrem oberen Teil zunehmend aus.,"Wegen der Erdanziehungskraft läuft die Flüssigkeit, die sich zwischen den Seifenfilmoberflächen befindet, nach unten (Drainage). Deshalb dünnt eine Seifenblase in ihrem oberen Teil zunehmend aus. ",Etwas einfacher
15,1,Seifenblase,"Zudem erfolgt im Laufe des Auslaufprozesses eine Anreicherung von Seifenfilm-stabilisierenden Tensidmolekülen im unteren Bereich der Seifenblase, sodass deren obere Region infolge des relativen Mangels von an die Oberfläche adsorbierten Tensidmolekülen zusätzlich destabilisiert wird.","Beim Auslaufen von einer Seifenblase sammeln sich Moleküle, die die Seifenblase stabil machen, im unteren Bereich der Seifenblase. Dadurch sind im oberen Bereich nur noch wenige vorhanden. Dadurch wird die Seifenblase weniger stabil.",Deutlich einfacher
19,1,Seifenblase,"Die Schichtdicke der Seifenblase lässt sich beobachten: Spiegelt die Oberfläche in bunten Interferenzfarben, ist die Schichtdicke vergleichbar mit der Wellenlänge des Lichts.","Die Dicke der Seifenblase lässt sich beobachten: Wenn die Oberfläche in bunten Farben spiegelt, dann ist die Schicht so Dick wie die Wellenlänge des Lichts,",Etwas einfacher
23,1,Seifenblase,"Die Erzeugung von Seifenblasen ist möglich, da die Oberfläche einer Flüssigkeit – in diesem Falle des Wassers – eine Oberflächenspannung besitzt, die zu einem elastischen Verhalten der Oberfläche führt.","Die Erzeugung von Seifenblasen ist möglich, weil Flüssigkeiten - in diesem Falle Wasser - eine elastische Oberfläche besitzen.",Deutlich einfacher
51,2,Badekultur,"So schildert der achte Gesang beispielsweise, wie im Hause des Phaiakenkönigs Alkinoos Odysseus von den Haussklaven ein Bad zubereitet wird, bevor er sich an der Tafel seines Gastgebers niederlässt.",So schildert der achte Besang beispielsweise folgende Szene:  Im Hause des Phaiakenkönigs Alkinoos wird für Odysseus ein Bad zubereitet. Danach lässt er sich an der Tafel seines Gastgebers nieder. ,Deutlich einfacher
52,2,Badekultur,"Vergleichbare Stellen belegen eine sorgfältige Reinigung vor Gebeten und Opfern und die Sitte, dem Gast zunächst Wasser zu reichen, damit er sich seine Hände waschen könne und ihm anschließend ein Bad anzubieten.","Es gibt Schriften, die erzählen, dass es üblich war, sich vor Gebeten und Opfern gründlich zu waschen. Außerdem gab es eine Tradition, seinem Gast Wasser zum Händewaschen zu geben und ihm anzubieten, ein Bad zu nehmen.",Etwas einfacher
55,2,Badekultur,"Ein bestimmtes Bauschema scheint es nicht gegeben zu haben, man findet Räume mit meist 10 bis 22 Wannen oder Sitzwannen sowohl in rechteckiger (zum Beispiel in Olympia) als auch kreisbogenförmiger Anordnung (zum Beispiel in Gortyn, Gela und Megara Hyblaea).",Es gab kein bestimmtes Bauschema. Man findet Räume mit 10-22 Wannen oder Sitzwannen. Die Wannen waren rechteckig oder kreisbogen-förmig angeordnet.,Deutlich einfacher
