ID,Sentence,Article_ID,Article,Votes_Complexity,MOS_Complexity,Std_Complexity,Votes_Understandability,MOS_Understandability,Std_Understandability,Vote_Lexical_difficulty,MOS_Lexical_difficulty,Std_Lexical_difficulty
3,"Etwa 5000 Jahre ist es her, seit die Sumerer das Sieden von Seife erfanden.",1,Seifenblase,9,1.888888889,0.78173596,9,1.888888889,0.78173596,9,2.666666667,1
4,Als Nebenprodukt entstand damals natürlich auch die erste Seifenblase.,1,Seifenblase,10,1.6,0.699205899,9,2.222222222,1.301708279,10,3.2,1.475729575
5,"Wegen dieser leichten Vergänglichkeit wurde ,Seifenblase‘ zu einer Metapher für etwas, das zwar anziehend, aber dennoch inhalts- und gehaltlos ist.",1,Seifenblase,14,4.428571429,1.504571787,14,4,2.038098661,14,4.214285714,1.672334684
6,"Dies spiegelt sich zum Beispiel in der Redewendung „Der Traum zerplatzte wie eine Seifenblase“ oder im Synonym ,Seifenblasenwirtschaft‘ für Bubble Economy.",1,Seifenblase,10,3.3,1.766981104,9,2.666666667,1.322875656,10,3.3,1.494434118
7,In der Kunst wird spätestens seit dem Barock die Seifenblase durchgängig ikonographisch als ein Vanitassymbol benutzt und spiegelt sowohl die Schönheit als auch die Flüchtigkeit des menschlichen Lebens wider.,1,Seifenblase,9,4,1.870828693,9,3,1.936491673,7,4.428571429,0.975900073
8,"Seifenblasen lösen auf physikalische Weise komplexe räumliche Probleme in der Mathematik, da sie im Gleichgewichtszustand die kleinste Oberfläche zwischen Punkten und Kanten bilden.",1,Seifenblase,9,3.444444444,1.013793755,9,2.888888889,1.269295518,8,3.75,1.035098339
9,"Seifenblasen bestehen aus einem dünnen (dipolaren) Wasserfilm, an dem sich innen und außen Seifenmoleküle anlagern mit einer dem Wasser zugewandten polaren, hydrophilen Carboxylat-Gruppe und einem dem Wasser abgewandten unpolaren, hydrophoben Alkylrest.",1,Seifenblase,10,5,1.56347192,10,4.5,1.779513042,10,5.1,1.595131482
10,"Der Aufbau ähnelt dem von Biomembranen, jedoch befindet sich bei Seifenblasen das Wasser innerhalb der Membran, nicht außerhalb.",1,Seifenblase,9,3.444444444,1.013793755,10,2.9,1.728840331,7,4,0.577350269
11,"Eine Seifenblase entsteht, wenn sich ein dünner Wasserfilm mit Seifenmolekülen vermischt.",1,Seifenblase,10,2.9,1.100504935,10,3.1,1.663329993,7,4.285714286,0.487950036
12,Beim Aufblasen entsteht eine Kugelform.,1,Seifenblase,9,1.666666667,0.5,10,1.5,0.971825316,12,2.5,1.882937743
13,Infolge des gravitationsbedingten Auslaufens (Drainage) der zwischen den Seifenfilmoberflächen befindlichen Flüssigkeit dünnt eine Seifenblase in ihrem oberen Teil zunehmend aus.,1,Seifenblase,18,4.833333333,1.58113883,18,4.166666667,1.855040827,18,4.611111111,1.576999716
15,"Zudem erfolgt im Laufe des Auslaufprozesses eine Anreicherung von Seifenfilm-stabilisierenden Tensidmolekülen im unteren Bereich der Seifenblase, sodass deren obere Region infolge des relativen Mangels von an die Oberfläche adsorbierten Tensidmolekülen zusätzlich destabilisiert wird.",1,Seifenblase,10,5.7,1.567021236,10,5.2,1.813529401,10,6,1.154700538
16,Tatsächlich platzen die meisten Seifenblasen im oberen Teil.,1,Seifenblase,9,2.666666667,1.732050808,9,2.888888889,2.088327348,9,3.111111111,2.088327348
18,Dadurch verlängert sich die Lebensdauer der Blase erheblich.,1,Seifenblase,9,2.777777778,1.986062548,9,2.777777778,2.166666667,9,2.777777778,1.6414763
19,"Die Schichtdicke der Seifenblase lässt sich beobachten: Spiegelt die Oberfläche in bunten Interferenzfarben, ist die Schichtdicke vergleichbar mit der Wellenlänge des Lichts.",1,Seifenblase,10,4.2,1.549193338,10,3.6,1.712697677,10,5,1.56347192
